genre1,genre3,imdb_id,passed,type,title,bechdel_id,bechdel_rating,num_votes,runtime_minutes,imdb_rating,year,genre2
Adventure,Drama,tt2180411,Pass,movie,Into the Woods,14702,3,277572,250,5.9,2014,Comedy
Thriller,,tt0035279,Fail,movie,Saboteur,11877,2,50588,218,7.1,1942,War
Action,Horror,tt1879012,Pass,movie,Night of the Living Dead 3D: Re-Animation,10210,3,2016,88,3,2012,Comedy
Horror,,tt0489244,Pass,movie,Night of the Living Dead 3D,10209,3,3701,80,3.1,2006,
Drama,,tt0090563,Fail,movie,Betty Blue,10208,2,20998,185,7.4,1986,Romance
Biography,Romance,tt7549996,Pass,movie,Judy,10207,3,48651,118,6.8,2019,Drama
Drama,,tt11389748,Pass,movie,Mass,10206,3,8832,111,7.7,2021,
Crime,Thriller,tt0107057,Fail,movie,Guilty as sin,10205,2,5285,107,5.6,1993,Drama
Comedy,,tt0976238,Pass,movie,Old Dogs,10204,3,37655,88,5.3,2009,Family
Adventure,Comedy,tt0423294,Fail,movie,Surfs Up,10203,1,76519,85,6.7,2007,Animation
Drama,Western,tt10293406,Fail,movie,"Power of the Dog, The",10202,0,118115,126,6.9,2021,Romance
Comedy,Fantasy,tt0076054,Pass,movie,Freaky Friday,10201,3,12737,95,6.3,1976,Family
Drama,,tt11127680,Pass,movie,Boiling Point,10200,3,7373,92,7.6,2021,Thriller
Biography,History,tt4995540,Pass,movie,Being The Ricardos,10199,3,30866,131,6.6,2021,Drama
Drama,,tt0113862,Pass,movie,Mr. Holland's Opus,10198,3,38402,143,7.3,1995,Music
Comedy,,tt0119360,Fail,movie,In & Out,10197,2,41129,90,6.4,1997,Romance
Action,Thriller,tt9274670,Pass,movie,13 Minutes,10196,3,1692,108,4.5,2021,Drama
Action,,tt8356942,Pass,movie,"355, The",10195,3,15258,122,5.2,2022,Thriller
Action,Animation,tt11032374,Fail,movie,Demon Slayer: Mugen Train,10194,0,49107,117,8.3,2020,Adventure
Comedy,Romance,tt10370710,Pass,movie,The Worst Person in the World,10193,3,21588,128,7.9,2021,Drama
Biography,Musical,tt8721424,Pass,movie,tick...tick..BOOM!,10190,3,78375,115,7.6,2021,Drama
Adventure,Comedy,tt8001346,Fail,movie,Astérix: Le secret de la potion magique (Asterix: The Secret of the Magic Potion),10189,2,9347,87,6.7,2018,Animation
Crime,Thriller,tt7740496,Fail,movie,Nightmare Alley,10186,1,68023,150,7.2,2021,Drama
