bechdel_id,imdb_id,bechdel_rating,title,year,passed,imdb_rating,num_votes,type,runtime_minutes,genres
14702,tt2180411,6,Into the Woods,4028,Pass,11.8,277572,movie,250,"Adventure,Comedy,Drama"
11877,tt0035279,2,Saboteur,3898,Fail,14.4,50588,movie,218,"Thriller,War"
10210,tt1879012,3,Night of the Living Dead 3D: Re-Animation,2012,Pass,3,2016,movie,88,"Action,Comedy,Horror"
10209,tt0489244,3,Night of the Living Dead 3D,2006,Pass,3.1,3701,movie,80,Horror
10208,tt0090563,2,Betty Blue,1986,Fail,7.4,20998,movie,185,"Drama,Romance"
10207,tt7549996,3,Judy,2019,Pass,6.8,48651,movie,118,"Biography,Drama,Romance"
10206,tt11389748,3,Mass,2021,Pass,7.7,8832,movie,111,Drama
10205,tt0107057,2,Guilty as sin,1993,Fail,5.6,5285,movie,107,"Crime,Drama,Thriller"
10204,tt0976238,3,Old Dogs,2009,Pass,5.3,37655,movie,88,"Comedy,Family"
10203,tt0423294,1,Surfs Up,2007,Fail,6.7,76519,movie,85,"Adventure,Animation,Comedy"
10202,tt10293406,0,"Power of the Dog, The",2021,Fail,6.9,118115,movie,126,"Drama,Romance,Western"
10201,tt0076054,3,Freaky Friday,1976,Pass,6.3,12737,movie,95,"Comedy,Family,Fantasy"
10200,tt11127680,3,Boiling Point,2021,Pass,7.6,7373,movie,92,"Drama,Thriller"
10199,tt4995540,3,Being The Ricardos,2021,Pass,6.6,30866,movie,131,"Biography,Drama,History"
10198,tt0113862,3,Mr. Holland's Opus,1995,Pass,7.3,38402,movie,143,"Drama,Music"
10197,tt0119360,2,In & Out,1997,Fail,6.4,41129,movie,90,"Comedy,Romance"
10196,tt9274670,3,13 Minutes,2021,Pass,4.5,1692,movie,108,"Action,Drama,Thriller"
10195,tt8356942,3,"355, The",2022,Pass,5.2,15258,movie,122,"Action,Thriller"
10194,tt11032374,0,Demon Slayer: Mugen Train,2020,Fail,8.3,49107,movie,117,"Action,Adventure,Animation"
10193,tt10370710,3,The Worst Person in the World,2021,Pass,7.9,21588,movie,128,"Comedy,Drama,Romance"
10190,tt8721424,3,tick...tick..BOOM!,2021,Pass,7.6,78375,movie,115,"Biography,Drama,Musical"
10189,tt8001346,2,Astérix: Le secret de la potion magique (Asterix: The Secret of the Magic Potion),2018,Fail,6.7,9347,movie,87,"Adventure,Animation,Comedy"
10186,tt7740496,1,Nightmare Alley,2021,Fail,7.2,68023,movie,150,"Crime,Drama,Thriller"
10185,tt11271038,3,Licorice Pizza,2021,Pass,7.6,40415,movie,133,"Comedy,Drama,Romance"
10184,tt3108894,1,"Tender Bar, The",2021,Fail,6.8,21034,movie,106,Drama
10183,tt0084917,3,"World According to Garp, The",1982,Pass,7.2,26430,movie,136,"Comedy,Drama"
10182,tt7873348,3,Save Yourselves!,2020,Pass,5.8,6575,movie,93,"Adventure,Comedy,Sci-Fi"
